,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
432,Great Bend,US,38.36,-98.76,69.8,32,1,8.05
433,Amurzet,RU,47.7,131.1,-5.55,55,0,5.95
434,Macapa,BR,0.04,-51.07,84.2,70,20,11.41
435,Shebekino,RU,50.41,36.91,33.8,86,0,6.71
436,Liverpool,CA,44.03,-64.72,43.77,100,44,25.3
437,Banjar,ID,-8.19,114.97,78.8,88,20,3.36
438,Eenhana,NA,-17.47,16.33,65.6,28,0,9.19
439,Sao Francisco,BR,-15.95,-44.86,73.79,76,76,12.66
440,Debre Tabor,ET,11.85,38.02,49.67,56,8,3.71
441,Naqadeh,IR,36.96,45.39,41.97,100,8,1.59
442,Talgram,IN,27.05,79.65,57.41,89,0,3.49
443,Karratha,AU,-20.74,116.85,74.6,73,0,10.2
444,Rock Sound,BS,24.9,-76.2,77.97,100,92,21.83
445,Xiongyue,CN,40.18,122.12,16.01,47,0,12.1
446,Panzhihua,CN,26.59,101.71,42.83,87,0,2.15
447,Ayna,PE,-12.65,-73.92,68.0,64,90,9.17
448,Chapais,CA,49.78,-74.85,6.8,84,1,4.7
449,Jumla,NP,29.27,82.18,20.65,100,20,1.81
450,Noumea,NC,-22.28,166.46,78.8,34,20,13.87
451,Talara,PE,-4.58,-81.27,69.8,73,0,10.29
452,Mount Pleasant,US,32.79,-79.86,51.8,87,1,5.95
453,Marsaxlokk,MT,35.84,14.54,59.0,82,20,10.29
454,Deputatskiy,RU,69.3,139.9,-20.8,28,0,2.71
455,Liwale,TZ,-9.77,37.93,72.76,75,0,5.17
456,Uthal,PK,25.81,66.62,50.12,52,0,5.06
457,Boa Vista,BR,2.82,-60.67,91.4,46,40,6.93
458,Channel-Port aux Basques,CA,47.57,-59.14,45.71,95,48,14.9
459,San Cristobal,EC,-0.9,-89.62,71.6,73,90,11.41
460,Cururupu,BR,-1.83,-44.87,80.86,73,100,10.2
461,Moryakovskiy Zaton,RU,56.7,84.65,27.57,93,92,8.41
462,Komsomolskiy,RU,43.98,46.7,39.14,86,48,9.98
463,Point Fortin,TT,10.18,-61.68,80.6,78,20,8.05
464,Cartagena,CO,10.4,-75.51,80.6,88,75,6.93
465,Salalah,OM,17.02,54.09,78.8,69,0,2.24
466,Muroto,JP,33.28,134.15,51.8,93,75,4.7
467,Bonfim,BR,3.08,-59.95,87.2,51,76,5.39
468,Mbandaka,CD,0.05,18.26,73.16,98,20,2.37
469,Porto Novo,CV,17.02,-25.06,75.2,78,75,11.41
470,Acarau,BR,-2.89,-40.12,77.84,81,0,13.78
471,Quang Ngai,VN,15.12,108.8,72.62,92,0,3.04
472,Praxedis Guerrero,MX,31.37,-106.02,80.6,13,1,12.75
473,Whitehorse,CA,60.72,-135.05,6.8,77,75,4.7
474,Kakanj,BA,44.13,18.12,41.0,100,90,2.24
475,Gornopravdinsk,RU,60.05,69.9,20.96,89,80,3.38
476,Trelew,AR,-43.25,-65.31,51.02,38,0,18.7
477,Harnai,PK,30.1,67.94,36.89,71,0,4.83
478,Andenes,NO,69.31,16.12,35.6,69,88,13.87
479,Iquique,CL,-20.22,-70.14,64.4,72,40,12.75
480,Santiago del Estero,AR,-27.8,-64.26,82.47,33,64,10.2
481,Hami,CN,42.8,93.45,25.01,70,92,1.59
482,Bandar-e Lengeh,IR,26.56,54.88,77.26,100,0,7.63
483,Mataram,ID,-8.58,116.12,77.0,100,20,1.12
484,Ranong,TH,9.97,98.63,79.15,100,0,6.73
485,Huarmey,PE,-10.07,-78.15,63.85,67,0,3.38
486,El Doncello,CO,1.68,-75.28,75.91,92,36,1.92
487,Edgewater,US,28.99,-80.9,71.6,64,20,7.18
488,Paita,PE,-5.09,-81.11,69.8,73,0,10.29
489,Ahipara,NZ,-35.17,173.17,62.67,79,92,23.85
490,Soc Trang,VN,9.6,105.98,80.81,93,80,4.94
491,Zaykovo,RU,57.56,62.76,21.01,88,80,2.82
492,Ballina,AU,-28.87,153.57,70.6,100,100,11.99
493,Xianyang,CN,34.34,108.7,41.0,48,0,6.71
494,Manta,EC,-0.95,-80.73,73.4,83,75,6.93
495,Walvis Bay,NA,-22.96,14.51,60.8,63,0,1.81
496,Aktau,KZ,43.65,51.2,28.4,100,0,8.95
497,Sawakin,SD,19.11,37.33,75.55,95,0,9.42
498,Tuatapere,NZ,-46.13,167.68,53.81,95,0,5.95
499,Poltavka,RU,54.37,71.76,33.2,98,92,8.19
500,Anori,BR,-3.77,-61.64,85.22,67,24,6.4
501,Iisalmi,FI,63.56,27.19,35.6,82,90,11.41
502,Yar-Sale,RU,66.83,70.83,18.62,94,64,8.86
503,Liepaja,LV,56.52,21.02,44.6,81,92,17.22
504,Jiazi,CN,22.88,116.07,72.44,100,24,4.72
505,Vao,NC,-22.67,167.48,71.27,100,76,13.56
506,Broome,AU,-17.97,122.23,86.0,62,0,8.05
507,Portland,AU,-38.33,141.6,63.08,90,0,1.36
508,Kabalo,CD,-6.05,26.92,65.82,99,36,2.93
509,Manzanillo,MX,19.05,-104.32,86.0,74,20,11.41
510,Balabac,PH,7.99,117.06,79.73,100,76,15.35
511,Valparaiso,CL,-33.04,-71.63,64.4,59,0,12.75
512,Salamiyah,SY,35.01,37.05,44.95,66,0,6.62
513,Kulhudhuffushi,MV,6.62,73.07,81.98,100,0,5.84
514,Kanye,BW,-24.97,25.33,43.19,49,0,3.71
